datetime,close,open,high,low,volume,
"Sep 18, 2019",52.17,52,53.3,51.7,454.65K,
"Sep 17, 2019",52.27,52.67,52.83,52.07,455.28K,
"Sep 16, 2019",52.67,53.33,53.33,52.67,328.53K,
"Sep 12, 2019",53.3,53.3,53.3,52.9,523.39K,
"Sep 11, 2019",53.13,52.67,53.27,52.33,292.16K,
"Sep 10, 2019",52.67,53.33,53.33,52.57,1.65M,
"Sep 09, 2019",53.33,53.17,54.3,53.17,159.14K,
"Sep 06, 2019",53.23,53.37,53.67,52.7,2.21M,
"Sep 05, 2019",53.37,54.77,54.77,53.33,423.50K,
"Sep 04, 2019",54.83,55,55,54.5,770.27K,
"Sep 03, 2019",55,55,55.17,54.67,659.76K,
"Sep 02, 2019",55.03,56,56,55,496.04K,
"Aug 30, 2019",55.87,56.6,56.6,55.33,477.62K,
"Aug 29, 2019",56.33,56.7,56.7,56.17,173.58K,
"Aug 28, 2019",56.33,56.67,57.1,56.17,337.13K,
"Aug 27, 2019",56.67,55.97,56.7,55.6,943.88K,
"Aug 26, 2019",55.97,56.6,56.6,55.33,165.12K,
"Aug 23, 2019",55.4,56.63,56.63,55.37,716.53K,
"Aug 22, 2019",55.7,56.03,56.3,55.6,606.99K,
"Aug 21, 2019",56.27,56.13,57,56.13,1.20M,
"Aug 20, 2019",56,55.5,56.23,55.17,292.06K,
"Aug 19, 2019",55.23,54.67,55.67,54.67,2.00M,
"Aug 16, 2019",54.33,54.67,54.93,54.33,527.25K,
"Aug 15, 2019",54.2,54.83,54.83,54.2,163.51K,
"Aug 13, 2019",55,57.33,58,54.93,701.49K,
"Aug 09, 2019",55.33,54,55.93,53.3,2.14M,
"Aug 08, 2019",54,54.97,54.97,53.93,573.56K,
"Aug 07, 2019",54,53.33,54.5,53.23,955.64K,
"Aug 06, 2019",53.3,54.17,54.17,53.1,1.13M,
